Day,Operator,Sample,FAM,ROX
Day 1,Operator 1,PC,23.195,28.879
Day 1,Operator 1,PC,23.232,27.891
Day 1,Operator 1,PC,23.173,28.155
Day 1,Operator 1,Sample,,29.108
Day 1,Operator 1,Sample,,29.409
Day 1,Operator 1,Sample,,28.800
Day 1,Operator 1,NTC,,29.225
Day 1,Operator 1,NTC,,29.219
Day 1,Operator 1,NTC,,29.348
Day 1,Operator 2,PC,23.247,28.391
Day 1,Operator 2,PC,23.340,28.270
Day 1,Operator 2,PC,23.635,28.755
Day 1,Operator 2,Sample,,29.290
Day 1,Operator 2,Sample,,29.216
Day 1,Operator 2,Sample,,29.252
Day 1,Operator 2,NTC,,29.274
Day 1,Operator 2,NTC,,28.922
Day 1,Operator 2,NTC,,28.788
