Day,Operator,Sample,FAM,ROX,
Day 1,Operator 1,PC,23.195,28.879,
Day 1,Operator 1,PC,23.232,27.891,
Day 1,Operator 1,PC,23.173,28.155,
Day 1,Operator 1,Sample,,29.108,
Day 1,Operator 1,Sample,,29.409,
Day 1,Operator 1,Sample,,28.800,
Day 1,Operator 1,NTC,,29.225,
Day 1,Operator 1,NTC,,29.219,
Day 1,Operator 1,NTC,,29.348,
Day 1,Operator 2,PC,23.247,28.391,
Day 1,Operator 2,PC,23.340,28.270,
Day 1,Operator 2,PC,23.635,28.755,
Day 1,Operator 2,Sample,,29.290,
Day 1,Operator 2,Sample,,29.216,
Day 1,Operator 2,Sample,,29.252,
Day 1,Operator 2,NTC,,29.274,
Day 1,Operator 2,NTC,,28.922,
Day 1,Operator 2,NTC,,28.788,
Day 2,Operator 1,PC,23.376,28.713,
Day 2,Operator 1,PC,23.362,29.136,
Day 2,Operator 1,PC,23.405,29.256,
Day 2,Operator 1,Sample,,29.941,
Day 2,Operator 1,Sample,,29.555,
Day 2,Operator 1,Sample,,29.601,
Day 2,Operator 1,NTC,,29.908,
Day 2,Operator 1,NTC,,29.528,
Day 2,Operator 1,NTC,,29.615,
Day 2,Operator 2,PC,23.551,31.501,
Day 2,Operator 2,PC,23.538,29.273,
Day 2,Operator 2,PC,23.759,29.095,
Day 2,Operator 2,Sample,,29.762,
Day 2,Operator 2,Sample,,29.645,
Day 2,Operator 2,Sample,,29.467,
Day 2,Operator 2,NTC,,29.939,
Day 2,Operator 2,NTC,,29.897,
Day 2,Operator 2,NTC,,30.012,
