Day,Operator,Sample,FAM,ROX
Day 1,O1,PC,25.523,28.794
Day 1,O1,PC,25.602,28.755
Day 1,O1,PC,25.564,28.858
Day 2,O1,PC,25.586,28.820
Day 2,O1,PC,25.574,28.787
Day 2,O1,PC,25.579,28.839
Day 1,O1,Sample,NA,28.102
Day 1,O1,Sample,NA,28.067
Day 1,O1,Sample,NA,28.196
Day 2,O1,Sample,NA,28.258
Day 2,O1,Sample,NA,28.349
Day 2,O1,Sample,NA,28.216
Day 1,O1,NTC,NA,29.451
Day 1,O1,NTC,NA,29.451
Day 1,O1,NTC,NA,29.571
Day 2,O1,NTC,NA,29.446
Day 2,O1,NTC,NA,29.667
Day 2,O1,NTC,NA,29.418
Day 1,O2,PC,25.586,28.438
Day 1,O2,PC,25.719,28.709
Day 1,O2,PC,25.975,28.855
Day 1,O2,NTC,NA,29.408
Day 1,O2,NTC,NA,29.127
Day 1,O2,NTC,NA,28.496
Day 2,O2,PC,25.578,29.065
Day 2,O2,PC,25.726,29.196
Day 2,O2,PC,25.952,29.502
Day 2,O2,Sample,NA,29.658
Day 2,O2,Sample,NA,30.673
Day 2,O2,Sample,NA,29.136
Day 2,O2,NTC,NA,30.231
Day 2,O2,NTC,NA,29.955
Day 2,O2,NTC,NA,29.868
