Day,Operator,Sample,FAM,ROX
Day1,Op1,PC,25.658,28.313
Day1,Op1,PC,25.730,28.392
Day1,Op1,PC,25.695,28.336
Day1,Op1,Sample,,27.986
Day1,Op1,Sample,,27.309
Day1,Op1,Sample,,27.569
Day1,Op1,NTC,,29.230
Day1,Op1,NTC,,29.236
Day1,Op1,NTC,,29.131
Day1,Op2,PC,25.750,28.214
Day1,Op2,PC,25.803,28.309
Day1,Op2,PC,26.029,28.524
Day1,Op2,Sample,,27.683
Day1,Op2,Sample,,27.445
Day1,Op2,Sample,,28.366
Day1,Op2,NTC,,29.068
Day1,Op2,NTC,,28.968
Day1,Op2,NTC,,28.950
Day2,Op1,PC,25.586,28.820
Day2,Op1,PC,25.574,28.787
Day2,Op1,PC,25.579,28.839
Day2,Op1,Sample,,28.258
Day2,Op1,Sample,,28.349
Day2,Op1,Sample,,28.216
Day2,Op1,NTC,,29.446
Day2,Op1,NTC,,29.667
Day2,Op1,NTC,,29.418
Day2,Op2,PC,25.578,29.065
Day2,Op2,PC,25.726,29.196
Day2,Op2,PC,25.952,29.502
Day2,Op2,Sample,,29.658
Day2,Op2,Sample,,30.673
Day2,Op2,Sample,,29.136
Day2,Op2,NTC,,30.231
Day2,Op2,NTC,,29.955
Day2,Op2,NTC,,29.868
