Sample,Operator,Day,CD8+Vb3+ % Viable,EP,Mock
EP0 (Mock),HT,Day1,0,0.88,0.88
EP0 (Mock),DA,Day1,0,0.83,0.83
EP20,HT,Day1,13.37,14.25,0.88
EP20,DA,Day1,14.4,15.23,0.83
EP40,HT,Day1,28.31,29.19,0.88
EP40,HT,Day1,28.03,28.91,0.88
EP40,HT,Day1,27.52,28.4,0.88
EP40,DA,Day1,26.29,27.12,0.83
EP40,DA,Day1,26.87,27.7,0.83
EP40,DA,Day1,29.3,30.13,0.83
EP60,HT,Day1,42.21,43.09,0.88
EP60,DA,Day1,41.57,42.4,0.83
EP80,HT,Day1,55.02,55.9,0.88
EP80,DA,Day1,54.83,55.66,0.83
EP100,HT,Day1,67.86,68.74,0.88
EP100,HT,Day1,68.67,69.55,0.88
EP100,HT,Day1,67.67,68.55,0.88
EP100,DA,Day1,69.27,70.1,0.83
EP100,DA,Day1,68.7,69.53,0.83
EP100,DA,Day1,69.87,70.7,0.83
EP0 (Mock),HT,Day2,0,1.17,1.17
EP0 (Mock),DA,Day2,0,1.1,1.1
EP20,HT,Day2,13.44,14.61,1.17
EP20,HT,Day2,13.99,15.16,1.17
EP20,HT,Day2,13.9,15.07,1.17
EP20,DA,Day2,13.75,14.85,1.1
EP20,DA,Day2,13.01,14.11,1.1
EP20,DA,Day2,13.59,14.69,1.1
EP40,HT,Day2,28.24,29.41,1.17
EP40,DA,Day2,28.22,29.32,1.1
EP60,HT,Day2,43.14,44.31,1.17
EP60,DA,Day2,43.59,44.69,1.1
EP80,HT,Day2,58.64,59.81,1.17
EP80,HT,Day2,57.03,58.2,1.17
EP80,HT,Day2,58.44,59.61,1.17
EP80,DA,Day2,56.94,58.04,1.1
EP80,DA,Day2,57.58,58.68,1.1
EP80,DA,Day2,59.57,60.67,1.1
EP100,HT,Day2,71,72.17,1.17
EP100,DA,Day2,72.51,73.61,1.1
EP0 (Mock),HT,Day3,0.07,1.15,1.0833
EP0 (Mock),HT,Day3,-0.04,1.04,1.0833
EP0 (Mock),HT,Day3,-0.02,1.06,1.0833
EP0 (Mock),DA,Day3,-0.06,1.22,1.28
EP0 (Mock),DA,Day3,-0.1,1.18,1.28
EP0 (Mock),DA,Day3,0.16,1.44,1.28
EP20,HT,Day3,14.68,15.76,1.0833
EP20,DA,Day3,13.7,14.98,1.28
EP40,HT,Day3,29.37,30.45,1.0833
EP40,DA,Day3,30.5,31.78,1.28
EP60,HT,Day3,43.74,44.82,1.0833
EP60,HT,Day3,44.78,45.86,1.0833
EP60,HT,Day3,44.49,45.57,1.0833
EP60,DA,Day3,43.78,45.06,1.28
EP60,DA,Day3,44.4,45.68,1.28
EP60,DA,Day3,44.52,45.8,1.28
EP80,HT,Day3,56.91,57.99,1.0833
EP80,DA,Day3,59.03,60.31,1.28
EP100,HT,Day3,71.35,72.43,1.0833
EP100,DA,Day3,72.06,73.34,1.28
