Sample,Operator,Day,CD8+Vb3+ % Viable,CD8-Vb3+ % Viable,Total (CD8+/-) Vb3+ % Viable
EP0 (Mock),DA,Day1,0.83,0.66,1.49
EP100,DA,Day1,70.10,25.55,95.65
EP100,DA,Day1,69.53,26.07,95.60
EP100,DA,Day1,70.70,24.83,95.53
EP20,DA,Day1,15.23,6.36,21.59
EP40,DA,Day1,27.12,9.53,36.65
EP40,DA,Day1,27.70,10.41,38.11
EP40,DA,Day1,30.13,11.78,41.91
EP60,DA,Day1,42.40,15.82,58.22
EP80,DA,Day1,55.66,20.46,76.12
EP0 (Mock),HT,Day1,0.88,0.75,1.63
EP100,HT,Day1,68.74,26.00,94.74
EP100,HT,Day1,69.55,25.64,95.19
EP100,HT,Day1,68.55,26.76,95.31
EP20,HT,Day1,14.25,6.09,20.34
EP40,HT,Day1,29.19,11.42,40.61
EP40,HT,Day1,28.91,11.47,40.38
EP40,HT,Day1,28.40,11.70,40.10
EP60,HT,Day1,43.09,17.43,60.52
EP80,HT,Day1,55.90,21.20,77.10
EP0 (Mock),DA,Day2,1.10,0.21,1.31
EP100,DA,Day2,73.61,18.69,92.30
EP20,DA,Day2,14.85,3.25,18.10
EP20,DA,Day2,14.11,2.98,17.09
EP20,DA,Day2,14.69,3.68,18.37
EP40,DA,Day2,29.32,7.01,36.33
EP60,DA,Day2,44.69,9.93,54.62
EP80,DA,Day2,58.04,14.90,72.94
EP80,DA,Day2,58.68,13.80,72.48
EP80,DA,Day2,60.67,13.58,74.25
EP0 (Mock),HT,Day2,1.17,0.19,1.36
EP100,HT,Day2,72.17,18.66,90.83
EP20,HT,Day2,14.61,3.63,18.24
EP20,HT,Day2,15.16,4.02,19.18
EP20,HT,Day2,15.07,4.13,19.20
EP40,HT,Day2,29.41,7.54,36.95
EP60,HT,Day2,44.31,11.56,55.87
EP80,HT,Day2,59.81,15.81,75.62
EP80,HT,Day2,58.20,16.09,74.29
EP80,HT,Day2,59.61,15.74,75.35
EP0 (Mock),DA,Day3,1.22,0.15,1.37
EP0 (Mock),DA,Day3,1.18,0.27,1.45
EP0 (Mock),DA,Day3,1.44,0.26,1.70
EP100,DA,Day3,73.34,20.88,94.22
EP20,DA,Day3,14.98,4.50,19.48
EP40,DA,Day3,31.78,9.16,40.94
EP60,DA,Day3,45.06,12.07,57.13
EP60,DA,Day3,45.68,12.60,58.28
EP60,DA,Day3,45.80,12.29,58.09
EP80,DA,Day3,60.31,16.15,76.46
EP0 (Mock),HT,Day3,1.15,0.22,1.37
EP0 (Mock),HT,Day3,1.04,0.26,1.30
EP0 (Mock),HT,Day3,1.06,0.19,1.25
EP100,HT,Day3,72.43,21.77,94.20
EP20,HT,Day3,15.76,4.24,20.00
EP40,HT,Day3,30.45,9.49,39.94
EP60,HT,Day3,44.82,14.11,58.93
EP60,HT,Day3,45.86,13.48,59.34
EP60,HT,Day3,45.57,13.98,59.55
EP80,HT,Day3,57.99,17.87,75.86
